prompt,content_word,style_word,seed,use_quantile,iou_threshold,iou_baseline_mean,iou_baseline_std,support_a_baseline,support_b_baseline,support_intersection_baseline,support_union_baseline,iou_baseline_cs_mean,iou_baseline_cs_std,support_a_baseline_cs,support_b_baseline_cs,support_intersection_baseline_cs,support_union_baseline_cs,iou_score,support_content,support_style,support_intersection,support_union
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.1,0.9340548191751753,0.05596591552116878,0.9368629455566406,0.9889425005231585,0.9301791327340262,0.9956263133457729,0.9518006997449058,0.053089745103189374,0.9554895673479352,0.9962591443743024,0.9517757552010673,0.9999729565211705,0.9949874877929688,0.9964265823364258,0.998560905456543,0.9949874877929688,1.0
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.1,0.8474051543644496,0.038918709404994305,0.9000000272478376,0.9,0.8252328600202288,0.9747671672276088,0.8267709612846375,0.019170958374350094,0.9000003678458077,0.9000004359654018,0.814546925680978,0.9854538781302316,0.8000587224960327,0.9000024795532227,0.8999996185302734,0.8000335693359375,0.9999685287475586
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.2,0.6191355356148311,0.2716699988086246,0.6226976394653321,0.9138342448643275,0.5912658418927874,0.9452660424368722,0.7047618414674487,0.26295243039425936,0.7251858711242676,0.9680698258536202,0.7009169033595494,0.9923387936183384,0.9544620513916016,0.9587726593017578,0.9956893920898438,0.9544620513916016,1.0
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.2,0.7199525458472116,0.07790689041159575,0.8000007084437779,0.8000005449567522,0.667855943952288,0.9321453094482421,0.6832942622048515,0.04331110385441468,0.8000005994524274,0.8000003269740513,0.6488503047398159,0.951150621686663,0.6046326160430908,0.8000001907348633,0.8000001907348633,0.6028871536254883,0.9971132278442383
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.3,0.39387215697206557,0.23291769432366388,0.3667699268886021,0.7458595275878906,0.3147507803780692,0.7978786740984235,0.4560230204037258,0.2572835269690579,0.4849118505205427,0.8897574288504464,0.43424361092703684,0.9404256684439523,0.8114126920700073,0.8227968215942383,0.9886054992675781,0.8114080429077148,0.9999942779541016
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.3,0.6031869632857186,0.11480545777594209,0.7000001634870257,0.7000002997262137,0.5223142351422991,0.8776862280709403,0.5504298231431416,0.06256646716368446,0.7000001498631069,0.700000354221889,0.4955448423113142,0.9044556617736816,0.4253450036048889,0.6999998092651367,0.7000007629394531,0.4177818298339844,0.9822187423706055
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.4,0.2644782938528806,0.22609183176582473,0.21723450251988002,0.5816775458199638,0.15732901436941965,0.6415830339704242,0.2842556109119739,0.2335367642152619,0.31453302928379606,0.7688161986214774,0.24602910450526647,0.8373201234000069,0.5605618357658386,0.5833072662353516,0.9741039276123047,0.5594301223754883,0.997981071472168
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.4,0.500564444065094,0.14769372619106905,0.6000010081699916,0.6000011989048549,0.3926276343209403,0.8073745727539062,0.4284790967191969,0.07622698212324142,0.600001403263637,0.600001335144043,0.35754850932529997,0.84245422908238,0.2874545454978943,0.6000032424926758,0.6000003814697266,0.2679290771484375,0.9320745468139648
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.5,0.17790258269285134,0.1948652122348398,0.132970210484096,0.4367950711931501,0.07120140620640346,0.49856387547084263,0.16581005937171409,0.19103136441781834,0.2013089316231864,0.6246183259146554,0.12163305282592773,0.7042942047119141,0.27720141410827637,0.33332061767578125,0.9195432662963867,0.27191925048828125,0.9809446334838867
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.5,0.41470472770077843,0.17871428325356278,0.5000001634870257,0.5000002724783761,0.2819326400756836,0.7180677958897181,0.32440262713602613,0.09095912943326723,0.500000136239188,0.500000136239188,0.24139492852347239,0.7586053439549038,0.1802798956632614,0.5,0.5,0.15274333953857422,0.8472566604614258
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.6,0.14073216694606736,0.1851524278947181,0.07915900094168526,0.28356590270996096,0.02565185001918248,0.3370730536324637,0.09108748825799141,0.11797490054710746,0.12557969774518693,0.4561684472220285,0.044656685420445034,0.5370914595467704,0.060093965381383896,0.1651906967163086,0.7815961837768555,0.05367088317871094,0.8931159973144531
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,True,0.6,0.35018277232136047,0.21154139090239807,0.400000980922154,0.4000012261526925,0.19326422555106026,0.6067379815237862,0.23575414291449956,0.09936533276349874,0.400000980922154,0.4000011852809361,0.14850282669067383,0.6514993395124163,0.09655437618494034,0.40000057220458984,0.40000152587890625,0.07044219970703125,0.7295598983764648
a painting of a person in the Abstract Expressionism style,person,Abstract Expressionism,0,False,0.7,0.11186279380926863,0.17634210291979202,0.044523211887904576,0.16458876473563058,0.005778067452566964,0.2033339091709682,0.048240439068259935,0.05983124899009789,0.07356207711356026,0.30388362067086355,0.009295531681605749,0.3681501661028181,0.0012000498827546835,0.0617218017578125,0.5962800979614258,0.0007886886596679688,0.6572132110595703
